2023-06-16 18:57:13,087 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='index.html']
2023-06-16 18:57:13,087 WARN  [restartedMain] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/images/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 18:57:13,088 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/images/**']
2023-06-16 18:57:13,088 WARN  [restartedMain] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/css/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 18:57:13,089 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/css/**']
2023-06-16 18:57:13,089 WARN  [restartedMain] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/js/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 18:57:13,092 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/js/**']
2023-06-16 18:57:13,183 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer:LiveReload server is running on port 35729
2023-06-16 18:57:13,199 INFO  [restartedMain] org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver:Exposing 15 endpoint(s) beneath base path '/actuator'
2023-06-16 18:57:13,396 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer:Tomcat started on port(s): 8080 (http) with context path ''
2023-06-16 18:57:13,455 INFO  [restartedMain] com.votecounter.VotecounterApplication:Started VotecounterApplication in 21.601 seconds (JVM running for 24.634)
2023-06-16 18:57:14,005 INFO  [RMI TCP Connection(6)-10.14.0.2] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-16 18:58:49,397 ERROR [http-nio-8080-exec-3] com.votecounter.security.jwt.JwtUtils:JWT Token Validation Error: JWT expired at 2023-06-12T21:10:15Z. Current time: 2023-06-16T18:58:49Z, a difference of 337714396 milliseconds.  Allowed clock skew: 0 milliseconds.
2023-06-16 18:59:06,968 ERROR [http-nio-8080-exec-5] com.votecounter.security.jwt.JwtUtils:JWT Token Validation Error: JWT expired at 2023-06-16T18:36:32Z. Current time: 2023-06-16T18:59:06Z, a difference of 1354968 milliseconds.  Allowed clock skew: 0 milliseconds.
2023-06-16 18:59:23,178 WARN  [http-nio-8080-exec-6] org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver:Resolved [com.votecounter.exception.ResourceNotFoundException: Resource with id 3 not found]
2023-06-16 19:00:45,162 ERROR [http-nio-8080-exec-1] com.votecounter.security.jwt.JwtUtils:JWT Token Validation Error: JWT expired at 2023-06-12T21:10:15Z. Current time: 2023-06-16T19:00:45Z, a difference of 337830162 milliseconds.  Allowed clock skew: 0 milliseconds.
2023-06-16 19:05:03,246 INFO  [SpringApplicationShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:Closing JPA EntityManagerFactory for persistence unit 'default'
2023-06-16 19:05:03,282 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown initiated...
2023-06-16 19:05:03,348 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown completed.
